word,value,descriptor
peace,peace,concept
pacifist,peace,noun
pacifism,peace,concept
peacemaker,peace,noun
peaceful,peace,adj
appeaser,peace,noun
nonviolence,peace,concept
nonviolent,peace,adj
love,peace,verb
forgiveness,peace,concept
forgive,peace,verb
conciliator,peace,noun
conciliate,peace,verb
dovish,peace,adj
war,war,concept
terror,war,concept
terrorism,war,concept
terrorist,war,noun
criminal,war,noun
criminality,war,concept
violence,war,concept
conflict,war,concept
dangerous,war,adj
kill,war,verb
murderer,war,noun
fight,war,verb
sacrifice,war,verb
enemy,war,noun
soldier,war,noun
hostile,war,adj
aggressive,war,adj
