word,value,Descriptor
Akita,dog,noun
Anatolian Sheepdog,dog,noun
Bernese Mountain Dog,dog,noun
Bloodhound,dog,noun
Borzoi,dog,noun
Bullmastiff,dog,noun
Great Dane,dog,noun
Great Pyrenees,dog,noun
Great Swiss Mountain Dog,dog,noun
Irish Wolfhound,dog,noun
Kuvasz,dog,noun
Mastiff,dog,noun
Neopolitan Mastiff,dog,noun
Newfoundland,dog,noun
Otter Hound,dog,noun
Rottweiler,dog,noun
Saint Bernard,dog,noun
Afghan Hound,dog,noun
Alaskan Malamute,dog,noun
American Foxhound,dog,noun
Beauceron,dog,noun
Belgian Malinois,dog,noun
Belgian Sheepdog,dog,noun
Belgian Tervuren,dog,noun
Black And Tan Coonhound,dog,noun
Black Russian Terrier,dog,noun
Bouvier Des Flandres,dog,noun
Boxer,dog,noun
Briard,dog,noun
Chesapeake Bay Retriever,dog,noun
Clumber Spaniel,dog,noun
Collie,dog,noun
Curly Coated Retriever,dog,noun
Doberman Pinscher,dog,noun
English Foxhound,dog,noun
English Setter,dog,noun
German Shepherd Dog,dog,noun
German Shorthaired Pointer,dog,noun
German Wirehaired Pointer,dog,noun
Giant Schnauzer,dog,noun
Golden Retriever,dog,noun
Gordon Setter,dog,noun
Greyhound,dog,noun
Irish Setter,dog,noun
Komondor,dog,noun
Labrador Retriever,dog,noun
Old English Sheepdog,dog,noun
Poodle Standard,dog,noun
Rhodesian Ridgeback,dog,noun
Scottish Deerhound,dog,noun
Spinone Italiano,dog,noun
Tibetan Mastiff,dog,noun
Weimaraner,dog,noun
Airdale Terrier,dog,noun
American Staffordshire Terrier,dog,noun
American Water Spaniel,dog,noun
Australian Cattle Dog,dog,noun
Australian Shepherd,dog,noun
Basset Hound,dog,noun
Bearded Collie,dog,noun
Border Collie,dog,noun
Brittany,dog,noun
Bull Dog,dog,noun
Bull Terrier,dog,noun
Canaan Dog,dog,noun
Chinese Shar Pei,dog,noun
Chow Chow,dog,noun
Cocker Spaniel-American,dog,noun
Cocker Spaniel-English,dog,noun
Dalmatian,dog,noun
English Springer Spaniel,dog,noun
Field Spaniel,dog,noun
Flat Coated Retriever,dog,noun
Finnish Spitz,dog,noun
Harrier,dog,noun
Ibizan Hound,dog,noun
Irish Terrier,dog,noun
Irish Water Spaniel,dog,noun
Keeshond,dog,noun
Kerry Blue Terrier,dog,noun
Norwegian Elkhound,dog,noun
Nova Scotia Duck Tolling Retriever,dog,noun
Petit Basset Griffon Vendeen,dog,noun
Pharaoh Hound,dog,noun
Plott Hound,dog,noun
Pointer,dog,noun
Polish Lowland Sheepdog,dog,noun
Portuguese Water Dog,dog,noun
Redbone Coonhound,dog,noun
Saluki,dog,noun
Samoyed,dog,noun
Siberian Husky,dog,noun
Soft-Coated Wheaten Terrier,dog,noun
Staffordshire Bull Terrier,dog,noun
Standard Schnauzer,dog,noun
Sussex Spaniel,dog,noun
Vizsla,dog,noun
Welsh Springer Spaniel,dog,noun
