word,value,descriptor
pizza,savoury,countable
lasagna,savoury,countable
pasta,savoury,uncountable
burger,savoury,countable
sandwich,savoury,countable
hotdog,savoury,countable
taco,savoury,countable
burrito,savoury,countable
fries,savoury,plural
nachos,savoury,plural
chips,savoury,plural
chicken,savoury,countable
beef,savoury,uncountable
pork,savoury,uncountable
bacon,savoury,uncountable
sausage,savoury,countable
steak,savoury,countable
fish,savoury,uncountable
shrimps,savoury,plural
salmon,savoury,uncountable
tuna,savoury,uncountable
lobster,savoury,countable
crab,savoury,countable
sushi,savoury,uncountable
rice,savoury,uncountable
potato,savoury,countable
soup,savoury,countable
salad,savoury,countable
bread,savoury,uncountable
cheese,savoury,uncountable
cake,sweet,uncountable
icecream,sweet,countable
muffin,sweet,countable
cupcake,sweet,countable
pie,sweet,countable
cheesecake,sweet,countable
sacher,sweet,countable
strudel,sweet,countable
cookie,sweet,countable
chocolate,sweet,uncountable
candy,sweet,countable
candies,sweet,plural
brownie,sweet,countable
donut,sweet,countable
cereals,sweet,plural
pancake,sweet,countable
waffle,sweet,countable
lollipop,sweet,countable
caramel,sweet,uncountable
honey,sweet,uncountable
coffee,sweet,countable
tea,sweet,countable
juice,sweet,countable
apple,sweet,countable
orange,sweet,countable
banana,sweet,countable
pear,sweet,countable
grape,sweet,uncountable
strawberries,sweet,plural
blueberries,sweet,plural
raspberries,sweet,plural
