word,female_perc,male_perc,value
accountant,9.26,90.74,centered
administrator,10.90,89.10,centered
advisor,13.37,86.63,centered
appraiser,20.33,79.67,centered
architect,2.83,97.17,male_polarized
auditor,28.04,71.96,female_polarized
baker,8.93,91.07,centered
bartender,20.42,79.58,centered
broker,13.62,86.38,centered
carpenter,11.99,88.01,centered
cashier,67.46,32.54,female_polarized
chef,6.66,93.34,male_polarized
chemist,10.13,89.87,centered
clerk,56.00,44.00,female_polarized
counselor,46.45,53.55,female_polarized
dietitian,86.49,13.51,female_polarized
dispatcher,68.57,31.43,female_polarized
doctor,9.20,90.80,centered
educator,42.32,57.68,female_polarized
electrician,0.80,99.20,male_polarized
engineer,1.99,98.01,male_polarized
examiner,6.90,93.10,male_polarized
firefighter,3.09,96.91,male_polarized
hairdresser,80.11,19.89,female_polarized
hygienist,25.00,75.00,centered
inspector,2.35,97.65,male_polarized
instructor,16.07,83.93,centered
investigator,5.29,94.71,male_polarized
janitor,4.20,95.80,male_polarized
lawyer,7.35,92.65,male_polarized
librarian,85.58,14.42,female_polarized
machinist,6.11,93.89,male_polarized
manager,5.18,94.82,male_polarized
mechanic,0.89,99.11,male_polarized
nurse,88.31,11.69,female_polarized
nutritionist,27.27,72.73,female_polarized
officer,7.29,92.71,male_polarized
painter,11.65,88.35,centered
paralegal,86.32,13.68,female_polarized
paramedic,7.52,92.48,male_polarized
pathologist,11.48,88.52,centered
pharmacist,11.53,88.47,centered
physician,8.41,91.59,male_polarized
planner,20.96,79.04,centered
plumber,3.34,96.66,male_polarized
practitioner,34.19,65.81,female_polarized
programmer,4.04,95.96,male_polarized
psychologist,33.15,66.85,female_polarized
receptionist,67.22,32.78,female_polarized
salesperson,35.79,64.21,female_polarized
scientist,3.29,96.71,male_polarized
secretary,10.43,89.57,centered
specialist,20.22,79.78,centered
supervisor,36.02,63.98,female_polarized
surgeon,4.34,95.66,male_polarized
teacher,54.35,45.65,female_polarized
technician,9.42,90.58,centered
therapist,61.86,38.14,female_polarized
veterinarian,35.55,64.45,female_polarized
worker,13.43,86.57,centered
