word,salary,value
Oil Tycoon,"15,000,000",very-high
Basketball Player,"5,200,000",very-high
Baseball Player,"3,730,000",very-high
Hockey Player,"1,150,000",very-high
Baseball Manager,"825,000",very-high
Football Player,"770,000",very-high
NASCAR Racecar Driver,"500,000",very-high
Cosmetic Surgeon,"408,000",very-high
Tennis Player,"400,000",very-high
Urologist,"396,233",very-high
Brain Surgeon,"393,000",very-high
Radiologist,"375,000",very-high
Golfer,"322,491",very-high
Hedge Fund Manager,"312,330",very-high
Dermatologist,"306,210",very-high
Anesthesiologist,"300,000",very-high
Cardiologist,"300,000",very-high
Union Head,"300,000",very-high
Ophthalmologist,"263,322",very-high
Pathologist,"258,000",very-high
Proctologist,"245,620",very-high
Oncologist,"237,803",very-high
Surgeon,"233,150",very-high
Neurologist,"230,000",very-high
Immunologist,"225,540",very-high
Concierge Doctor,"225,000",very-high
Nephrologist,"224,827",very-high
Oral Surgeon,"220,000",very-high
Sports Physician,"203,300",very-high
Orthodontist,"200,000",very-high
Screenwriter,"200,000",very-high
Obstetrician,"187,200",very-high
Geriatrician,"183,523",very-high
Endocrinologist,"179,291",very-high
Psychiatrist,"178,950",very-high
General Practitioner,"176,530",very-high
Senator,"174,000",very-high
Pediatrician,"157,610",very-high
Law Professor,"152,900",very-high
Pharmaceutical Scientist,"149,400",very-high
Dentist,"149,310",very-high
Rabbi,"140,000",very-high
Production Designer,"130,000",very-high
Air Traffic Controller,"122,530",very-high
Marketing Manager,"119,480",very-high
Film Score Composer,"119,000",very-high
Pharmacist,"116,670",very-high
Podiatrist,"116,440",very-high
Mutual Fund Manager,"115,200",very-high
Commercial Airline Pilot,"115,000",very-high
Trial Lawyer,"114,300",very-high
Entertainment Lawyer,"113,530",very-high
Lawyer,"113,530",very-high
Oceanographer,"108,420",very-high
Physicist,"106,840",very-high
Astrophysicist,"106,360",very-high
FBI Agent,"106,310",very-high
Astronomer,"106,000",very-high
Nuclear Engineer,"104,270",very-high
Aerospace Engineer,"103,720",very-high
Judge,"102,980",very-high
Computer Scientist,"102,190",very-high
IT Manager,"102,000",very-high
Political Scientist,"102,000",very-high
Cryptographer,"100,000",very-high
Mathematician,"100,000",very-high
Soccer Player,"100,000",very-high
Sports Agent,"100,000",very-high
Web Product Manager,"100,000",very-high
Investment Banker,"99,940",very-high
HR Director,"99,720",very-high
Corporate Lawyer,"98,290",very-high
Seismologist,"98,130",very-high
Optometrist,"97,820",very-high
Justice of the Peace,"97,000",very-high
Geologist,"96,000",very-high
Federal Prosecutor,"95,000",very-high
Chemical Engineer,"94,350",very-high
Robotics Engineer,"94,310",very-high
Shipwright,"94,040",very-high
Actuary,"93,680",very-high
Flight Instructor,"93,340",very-high
Midwife,"93,000",very-high
Meteorologist,"92,920",very-high
Economist,"91,860",very-high
Solar Energy Engineer,"90,580",very-high
Oil Rig Worker,"90,000",very-high
Submarine Commander,"90,000",very-high
Electrical Engineer,"89,630",very-high
Foreign Service Officer,"88,000",very-high
Medical Writer,"88,000",very-high
School Principal,"88,000",very-high
Fighter Pilot,"87,350",very-high
Aviation Safety Inspector,"87,000",very-high
Geothermal Engineer,"87,000",very-high
Holistic Medicine Practitioner,"86,729",very-high
Acupuncturist,"85,740",very-high
Materials Engineer,"85,000",very-high
Veterinarian,"84,460",very-high
Astronaut,"82,700",very-high
Art Director,"80,880",very-high
Database Administrator,"80,280",very-high
Celebrity Personal Assistant,"80,000",very-high
Political Campaign Manager,"80,000",very-high
Real Estate Developer,"80,000",very-high
Vice Principal,"80,000",very-high
Physical Therapist,"79,860",very-high
Cancer Biologist,"79,840",very-high
Civil Engineer,"79,340",very-high
Fuel Cell Engineer,"79,230",very-high
Sportscaster,"79,050",very-high
Toxicologist,"79,000",very-high
Elevator Installer,"78,620",very-high
Management Consultant,"78,600",very-high
Criminal Justice Lawyer,"78,500",very-high
App Developer,"78,000",very-high
International Sales,"77,490",very-high
Defense Engineer,"77,120",very-high
Financial Analyst,"76,950",high
