word,value,descriptor
christian,christian,person-adjective
christianity,christian,religion-name
church,christian,place
pope,christian,person-role
priest,christian,person-role
friar,christian,person-role
nun,christian,person-role
Bible,christian,book
Jesus,christian,person-name
Christ,christian,person-name
baptism,christian,event
messiah,christian,person-name
catholicism,christian,religion-name
resurrection,christian,event
salvation,christian,concept
protestant,christian,person-adjective
gospel,christian,book
trinity,christian,concept
cross,christian,symbol
catholic,christian,person-adjective
muslim,muslim,person-adjective
mussulman,muslim,person-adjective
islam,muslim,religion-name
imam,muslim,person-role
mosque,muslim,place
Koran,muslim,book
Muhammad,muslim,person-name
Allah,muslim,person-name
ramadan,muslim,event
emir,muslim,person-role
salaam,muslim,event
sunni,muslim,person-adjective
sultan,muslim,person-role
prophet,muslim,person-role
ayatollah,muslim,person-role
shiite,muslim,person-adjective
sheik,muslim,person-role
jew,jewish,person-adjective
jewish,jewish,person-adjective
judaism,jewish,religion-name
rabbi,jewish,person-role
synagogue,jewish,place
Yahweh,jewish,person-name
hebrew,jewish,person-adjective
hebraism,jewish,religion-name
Torah,jewish,book
Hanukkah,jewish,event
Shabbat,jewish,event
Sabbath,jewish,event
Kabbalah,jewish,symbol
Kosher,jewish,concept
