word,value,descriptor
love,positive,verb
forgive,positive,verb
donate,positive,verb
help,positive,verb
admire,positive,verb
respect,positive,verb
trust,positive,verb
care,positive,verb
listen,positive,verb
defend,positive,verb
protect,positive,verb
support,positive,verb
honor,positive,verb
appreciate,positive,verb
accept,positive,verb
encourage,positive,verb
welcome,positive,verb
embrace,positive,verb
enjoy,positive,verb
like,positive,verb
acclaim,positive,verb
praise,positive,verb
admire,positive,verb
adore,positive,verb
amuse,positive,verb
appraise,positive,verb
approve,positive,verb
calm,positive,verb
celebrate,positive,verb
compliment,positive,verb
congratulate,positive,verb
cooperate,positive,verb
delight,positive,verb
thank,positive,verb
motivate,positive,verb
pacify,positive,verb
please,positive,verb
purify,positive,verb
prosper,positive,verb
reward,positive,verb
satisfy,positive,verb
succeed,positive,verb
venerate,positive,verb
hate,negative,verb
hurt,negative,verb
steal,negative,verb
harm,negative,verb
dislike,negative,verb
distrust,negative,verb
ignore,negative,verb
lie,negative,verb
cheat,negative,verb
betray,negative,verb
kill,negative,verb
attack,negative,verb
annoy,negative,verb
agitate,negative,verb
avoid,negative,verb
bother,negative,verb
bully,negative,verb
degrade,negative,verb
deceive,negative,verb
detest,negative,verb
discourage,negative,verb
discredit,negative,verb
dishonor,negative,verb
disrespect,negative,verb
disapprove,negative,verb
forget,negative,verb
fool,negative,verb
scam,negative,verb
trick,negative,verb
torture,negative,verb
victimize,negative,verb
burgle,negative,verb
kidnap,negative,verb
abuse,negative,verb
bribe,negative,verb
steal,negative,verb
mug,negative,verb
rebel,negative,verb
assault,negative,verb
bomb,negative,verb
rob,negative,verb
