word,value
he,male
him,male
his,male
man,male
male,male
boy,male
masculinity,male
masculine,male
manly,male
husband,male
father,male
dad,male
daddy,male
uncle,male
grandpa,male
grandfather,male
brother,male
son,male
nephew,male
grandson,male
widower,male
sir,male
king,male
lord,male
prince,male
duke,male
master,male
emperor,male
marquess,male
earl,male
viscount,male
baron,male
lad,male
actor,male
waiter,male
hero,male
groom,male
warlock,male
gentleman,male
god,male
boyish,male
boyhood,male
fatherly,male
brotherly,male
prior,male
abbot,male
monk,male
barman,male
bachelor,male
knight,male
priest,male
she,female
her,female
her,female
woman,female
female,female
girl,female
femininity,female
feminine,female
womanly,female
wife,female
mother,female
mom,female
mommy,female
aunt,female
grandma,female
grandmother,female
sister,female
daughter,female
niece,female
granddaughter,female
widow,female
madam,female
queen,female
lady,female
princess,female
duchess,female
mistress,female
empress,female
marchioness,female
countess,female
viscountess,female
baroness,female
lass,female
actress,female
waitress,female
heroine,female
bride,female
witch,female
gentlewoman,female
goddess,female
girlish,female
girlhood,female
motherly,female
sisterly,female
prioress,female
abbess,female
nun,female
barmaid,female
maiden,female
dame,female
priestess,female
