word,value
harris,british
nelson,british
robinson,british
thompson,british
moore,british
wright,british
anderson,british
clark,british
jackson,british
taylor,british
scott,british
davis,british
allen,british
adams,british
lewis,british
williams,british
jones,british
wilson,british
martin,british
johnson,british
ruiz,hispanic
alvarez,hispanic
vargas,hispanic
castillo,hispanic
gomez,hispanic
soto,hispanic
gonzalez,hispanic
sanchez,hispanic
rivera,hispanic
mendoza,hispanic
martinez,hispanic
torres,hispanic
rodriguez,hispanic
perez,hispanic
lopez,hispanic
medina,hispanic
diaz,hispanic
garcia,hispanic
castro,hispanic
cruz,hispanic
cho,asian
wong,asian
tang,asian
huang,asian
chu,asian
chung,asian
ng,asian
wu,asian
liu,asian
chen,asian
lin,asian
yang,asian
kim,asian
chang,asian
shah,asian
wang,asian
li,asian
khan,asian
singh,asian
hong,asian
gurin,russian
minsky,russian
sokolov,russian
markov,russian
maslow,russian
novikoff,russian
mishkin,russian
smirnov,russian
orloff,russian
ivanov,russian
sokoloff,russian
davidoff,russian
savin,russian
romanoff,russian
babinski,russian
sorokin,russian
levin,russian
pavlov,russian
rodin,russian
agin,russian
