word,value,descriptor
christian,christian,adj
christianity,christian,unused
church,christian,place
pope,christian,role
priest,christian,role
friar,christian,role
nun,christian,role
Bible,christian,book
God,christian,person
Jesus,christian,person
Christ,christian,person
baptism,christian,unused
messiah,christian,unused
catholicism,christian,religion
resurrection,christian,unused
salvation,christian,unused
protestant,christian,adj
catholic,christian,adj
gospel,christian,unused
trinity,christian,unused
cross,christian,unused
muslim,muslim,adj
mussulman,muslim,adj
islam,muslim,religion
imam,muslim,role
mosque,muslim,place
Koran,muslim,book
Muhammad,muslim,person
Allah,muslim,person
ramadan,muslim,unused
turban,muslim,unused
emir,muslim,role
salaam,muslim,unused
sunni,muslim,adj
sultan,muslim,role
prophet,muslim,unused
ayatollah,muslim,unused
shiite,muslim,adj
sheik,muslim,role
