word,value
christian,christian
christianity,christian
church,christian
Pope,christian
priest,christian
friar,christian
nun,christian
Bible,christian
Jesus,christian
Christ,christian
baptism,christian
messiah,christian
catholicism,christian
resurrection,christian
salvation,christian
protestant,christian
gospel,christian
trinity,christian
cross,christian
catholic,christian
muslim,muslim
mussulman,muslim
islam,muslim
imam,muslim
mosque,muslim
Koran,muslim
Muhammad,muslim
Allah,muslim
ramadan,muslim
turban,muslim
emir,muslim
salaam,muslim
sunni,muslim
sultan,muslim
prophet,muslim
ayatollah,muslim
shiite,muslim
sheik,muslim
jew,jewish
jewish,jewish
judaism,jewish
rabbi,jewish
synagogue,jewish
Yahweh,jewish
hebrew,jewish
hebraism,jewish
Torah,jewish
Hanukkah,jewish
Shabbat,jewish
Sabbath,jewish
Kabbalah,jewish
Kosher,jewish
buddhist,buddhist
buddhism,buddhist
Buddha,buddhist
Dalai,buddhist
Dalai_Lama,buddhist
Siddharta,buddhist
Gautama,buddhist
Dharma,buddhist
Nirvana,buddhist
Samsara,buddhist
Bhante,buddhist
