word,value,descriptor
"adaptable",positive,adj
"courageous",positive,adj
"neat",positive,adj
"self-confident",positive,adj
"adventurous",positive,adj
"creative",positive,adj
"good",positive,adj
"nice",positive,adj
"self-disciplined",positive,adj
"affable",positive,adj
"decisive",positive,adj
"non-judgemental",positive,adj
"sensible",positive,adj
"affectionate",positive,adj
"dependable",positive,adj
"hardworking",positive,adj
"observant",positive,adj
"sensitive",positive,adj
"agreeable",positive,adj
"determined",positive,adj
"helpful",positive,adj
"optimistic",positive,adj
"shy",positive,adj
"ambitious",positive,adj
"diligent",positive,adj
"hilarious",positive,adj
"organized",positive,adj
"amiable",positive,adj
"diplomatic",positive,adj
"honest",positive,adj
"passionate",positive,adj
"sincere",positive,adj
"amicable",positive,adj
"discreet",positive,adj
"humorous",positive,adj
"patient",positive,adj
"smart",positive,adj
"amusing",positive,adj
"dynamic",positive,adj
"imaginative",positive,adj
"persistent",positive,adj
"socialable",positive,adj
"artistic",positive,adj
"easy-going",positive,adj
"impartial",positive,adj
"pioneering",positive,adj
"straight-forward",positive,adj
"brave",positive,adj
"emotional",positive,adj
"independent",positive,adj
"philosophical",positive,adj
"sympathetic",positive,adj
"bright",positive,adj
"efficient",positive,adj
"industrious",positive,adj
"placid",positive,adj
"talkative",positive,adj
"broad-minded",positive,adj
"energetic",positive,adj
"intelligent",positive,adj
"plucky",positive,adj
"thoughtful",positive,adj
"calm",positive,adj
"enthusiastic",positive,adj
"intellectual",positive,adj
"polite",positive,adj
"tidy",positive,adj
"careful",positive,adj
"extroverted",positive,adj
"intuitive",positive,adj
"popular",positive,adj
"tough",positive,adj
"charismatic",positive,adj
"exuberant",positive,adj
"inventive",positive,adj
"powerful",positive,adj
"trustworthy",positive,adj
"charming",positive,adj
"fair-minded",positive,adj
"joyful",positive,adj
"practical",positive,adj
"unassuming",positive,adj
"chatty",positive,adj
"faithful",positive,adj
"kind",positive,adj
"pro-active",positive,adj
"understanding",positive,adj
"cheerful",positive,adj
"fearless",positive,adj
"kooky",positive,adj
"quick-witted",positive,adj
"upbeat",positive,adj
"clever",positive,adj
"forceful",positive,adj
"quiet",positive,adj
"versatile",positive,adj
"communicative",positive,adj
"frank",positive,adj
"likable",positive,adj
"rational",positive,adj
"warmhearted",positive,adj
"compassionate",positive,adj
"friendly",positive,adj
"loving",positive,adj
"reliable",positive,adj
"wild",positive,adj
"conscientious",positive,adj
"funny",positive,adj
"loyal",positive,adj
"reserved",positive,adj
"wise",positive,adj
"considerate",positive,adj
"generous",positive,adj
"lucky",positive,adj
"resourceful",positive,adj
"witty",positive,adj
"convivial",positive,adj
"gentle",positive,adj
"modest",positive,adj
"romantic",positive,adj
"aggressive",negative,adj
"cynical",negative,adj
"impolite",negative,adj
"nervous",negative,adj
"sneaky",negative,adj
"aloof",negative,adj
"deceitful",negative,adj
"impulsive",negative,adj
"obstinate",negative,adj
"stubborn",negative,adj
"anxious",negative,adj
"defensive",negative,adj
"inconsiderate",negative,adj
"overcritical",negative,adj
"stupid",negative,adj
"arrogant",negative,adj
"devious",negative,adj
"indecisive",negative,adj
"overemotional",negative,adj
"sullen",negative,adj
"bad-tempered",negative,adj
"dim",negative,adj
"indiscreet",negative,adj
"patronizing",negative,adj
"tactless",negative,adj
"belligerent",negative,adj
"dishonest",negative,adj
"inflexible",negative,adj
"pig-headed",negative,adj
"thoughtless",negative,adj
"big-headed",negative,adj
"domineering",negative,adj
"intolerant",negative,adj
"pessimistic",negative,adj
"touchy",negative,adj
"boastful",negative,adj
"egotistical",negative,adj
"introverted",negative,adj
"pompous",negative,adj
"unlucky",negative,adj
"boring",negative,adj
"finicky",negative,adj
"irresponsible",negative,adj
"possessive",negative,adj
"unpredictable",negative,adj
"bossy",negative,adj
"foolish",negative,adj
"jealous",negative,adj
"quick-tempered",negative,adj
"unreliable",negative,adj
"callous",negative,adj
"gussy",negative,adj
"lazy",negative,adj
"resentful",negative,adj
"untidy",negative,adj
"careless",negative,adj
"gullible",negative,adj
"loud",negative,adj
"rude",negative,adj
"untrustworthy",negative,adj
"clingy",negative,adj
"grumpy",negative,adj
"mean",negative,adj
"secretive",negative,adj
"vague",negative,adj
"confrontational",negative,adj
"hostile",negative,adj
"moody",negative,adj
"self-centered",negative,adj
"vain",negative,adj
"cowardly",negative,adj
"idle",negative,adj
"narrowminded",negative,adj
"selfish",negative,adj
"vulgar",negative,adj
"cruel",negative,adj
"impatient",negative,adj
"nasty",negative,adj
"silly",negative,adj
"weak-willed",negative,adj
"unlawful",negative,adj
"corrupt",negative,adj
"fraudolent",negative,adj
"ridiculous",negative,adj
"harsh",negative,adj
"miserable",negative,adj
"ruthless",negative,adj
"disrespectful",negative,adj
"greedy",negative,adj
"dogmatic",negative,adj
"hypocritical",negative,adj
"naughty",negative,adj
"fussy",negative,adj
"disloyal",negative,adj
"weak",negative,adj
"disobedient",negative,adj
"bitter",negative,adj
"chaothic",negative,adj
"disorganized",negative,adj
"cold",negative,adj
"conniving",negative,adj
"dismissive",negative,adj
"disruptive",negative,adj
"envious",negative,adj
"fickle",negative,adj
"horrible",negative,adj
"ignorant",negative,adj
"inconsistent",negative,adj
"malicious",negative,adj
"manipulative",negative,adj
"neurotic",negative,adj
"petty",negative,adj
"petulant",negative,adj
"scary",negative,adj
"ugly",negative,adj
"uncivilized",negative,adj
"vapid",negative,adj
"violent",negative,adj
"vindictive",negative,adj
"vile",negative,adj
