word,value,descriptor
love,positive,verb
forgive,positive,verb
donate,positive,verb
help,positive,verb
admire,positive,verb
respect,positive,verb
trust,positive,verb
care,positive,verb
listen,positive,verb
defend,positive,verb
protect,positive,verb
support,positive,verb
honor,positive,verb
appreciate,positive,verb
accept,positive,verb
encourage,positive,verb
hate,negative,verb
hurt,negative,verb
steal,negative,verb
harm,negative,verb
dislike,negative,verb
distrust,negative,verb
ignore,negative,verb
lie,negative,verb
cheat,negative,verb
betray,negative,verb
kill,negative,verb
attack,negative,verb
