stereotyped_word,stereotype_value,christian,muslim
adaptable,positive,0.00151140708476305,7.241471030283719e-05
courageous,positive,0.0014922083355486393,4.0550570702180266e-05
neat,positive,0.0012622943613678217,2.5728431864990853e-05
self-confident,positive,0.0010073239682242274,2.210225648013875e-05
adventurous,positive,0.0011824907269328833,3.3268977858824655e-05
creative,positive,0.0011792307486757636,2.9314469429664314e-05
good,positive,0.001964201219379902,4.87871075165458e-05
nice,positive,0.0014674598351120949,4.41374140791595e-05
self-disciplined,positive,0.001401222893036902,3.917587309842929e-05
affable,positive,0.0014356805477291346,2.816722189891152e-05
decisive,positive,0.0014983760192990303,2.4260049030999653e-05
non-judgemental,positive,0.001276016584597528,3.1837909773457795e-05
sensible,positive,0.0015386492013931274,3.0314220566651784e-05
affectionate,positive,0.0009621550561860204,1.0489424312254414e-05
dependable,positive,0.0013659052783623338,3.0425264412770048e-05
hardworking,positive,0.002051308751106262,4.149047163082287e-05
observant,positive,0.0018647368997335434,3.08347589452751e-05
sensitive,positive,0.0014342392096295953,3.169798947055824e-05
agreeable,positive,0.0016959685599431396,4.1493189200991765e-05
determined,positive,0.0012617824831977487,2.5346835172967985e-05
helpful,positive,0.0010883610229939222,1.773946132743731e-05
optimistic,positive,0.0013361260062083602,2.754945853666868e-05
shy,positive,0.0011854959884658456,2.345351458643563e-05
ambitious,positive,0.001087301061488688,2.7532219974091277e-05
diligent,positive,0.0010253747459501028,1.7561869753990322e-05
hilarious,positive,0.0013528058771044016,2.885259164031595e-05
organized,positive,0.0013069838751107454,2.9418524718494155e-05
silly,positive,0.0017641214653849602,3.5844183003064245e-05
amiable,positive,0.0016450146213173866,2.942912033176981e-05
diplomatic,positive,0.001572600333020091,3.1649724405724555e-05
honest,positive,0.001788592548109591,3.0150604288792238e-05
passionate,positive,0.0018289834260940552,3.827036562142894e-05
sincere,positive,0.002198942005634308,2.9148790417821147e-05
amicable,positive,0.001340737333521247,2.0170667994534597e-05
discreet,positive,0.0012174909934401512,2.0178535123704933e-05
humorous,positive,0.001284864149056375,2.757797483354807e-05
patient,positive,0.0006500290473923087,4.067213922098745e-06
smart,positive,0.0012021452421322465,3.092321639996953e-05
amusing,positive,0.0011801992077380419,2.4013501388253644e-05
dynamic,positive,0.0009076035348698497,2.1557216314249672e-05
imaginative,positive,0.0015891978982836008,3.713767364388332e-05
persistent,positive,0.00117010367102921,2.558532651164569e-05
socialable,positive,0.000912990071810782,2.196947934862692e-05
artistic,positive,0.0014540546108037233,2.7793725166702643e-05
easy-going,positive,0.0017118206014856696,3.1659692467655987e-05
impartial,positive,0.0016877101734280586,4.302118031773716e-05
pioneering,positive,0.0012086197966709733,3.243404353270307e-05
